order_id,customer_id,order_date,amount,loaded_at
1001,1,2025-01-05,120.50,2025-01-05 10:00:00
1002,1,2025-01-10,60.00,2025-01-10 10:00:00
1003,2,2025-01-15,300.00,2025-01-15 10:00:00
1004,3,2025-02-01,800.00,2025-02-01 10:00:00
1005,4,2025-02-10,25.00,2025-02-10 10:00:00
1006,5,2025-02-12,150.00,2025-02-12 10:00:00
1007,2,2025-02-20,75.00,2025-02-20 10:00:00
1008,3,2025-03-01,60.00,2025-03-01 10:00:00
1009,1,2025-03-05,220.00,2025-03-05 10:00:00
1010,4,2025-03-08,45.00,2025-03-08 10:00:00
1011,2,2025-03-20,99.00,2025-03-20 10:00:00
1012,2,2025-03-21,75.00,2025-03-21 10:00:00
